名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸B3（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
小白菜（青菜，白菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.8,14,1.4,0.3,2.4,0,0,154,0.01,0.05,0,64,0.4,117,26,116,132.2,30,1.3,0.23,0.39,0.02,0.15
圆白菜（卷心菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,93.2,24,1.5,0.2,4.6,1,0,6,0.03,0.03,0.4,40,0.5,49,26,124,27.2,12,0.6,0.25,0.96,0.04,0.18
奶白菜,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,92.6,21,2.7,0.2,3.3,1.5,0,95,0.02,0.1,0.59,37.4,0.16,66,55,126,170.2,41,1,0.28,0.43,0.05,0.24
娃娃菜,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,95,13,1.9,0.2,2.4,0,0,4,0.04,0.03,0.61,12,0,78,58,278,19.3,17,0.4,0.35,0.16,0.03,0.13
酸白菜（酸菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.9,10,0.7,0.2,2.6,0.5,0,5,0.01,0.01,0.6,2,0.86,48,38,104,43.1,21,0.3,0.03,0.16,0.04,0.01
白萝卜（莱菔）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.6,16,0.7,0.1,4,0,0,0,0.02,0.01,0.14,19,0,47,16,167,54.3,12,0.2,0.14,0.12,0.01,0.05
卞萝卜（红皮萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.2,20.2,0.8,0.1,5.3,1.1,0,0,0.01,0.02,0.22,5.6,0,39,27,16,111.2,24,0.3,0.23,0.27,0.02,0.04
红心萝卜（心里美）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,88,43.8,1.2,0,11.2,1.4,0,7,0.02,0.02,0.1,20,0,86,30,385,49.1,23,0.9,0.74,0.73,0.05,0.08
胡萝卜（红）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,89.2,41.2,1,0.2,9.9,1.1,0,344,0.04,0.03,0.6,13,0.41,32,27,190,71.4,14,1,0.23,0.63,0.08,0.24
胡萝卜（黄）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,87.4,48.6,1.4,0.2,11.5,1.3,0,344,0.04,0.04,0.2,16,0,32,16,193,25.1,7,0.5,0.14,2.8,0.03,0.07
青萝卜,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,91,29,1.2,0.2,6.9,0,0,7,0.01,0.02,0.62,7,0,47,31,248,56,15,0.3,0.16,0.1,0.02,0.06
水萝卜（脆萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,92.9,24.8,0.8,0,6.9,1.4,0,21,0.03,0.05,0,45,0,0,0,0,9.7,0,0,0.49,0,0.01,0.05
小水萝卜（算盘子，红皮萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,93.9,23,1.1,0.2,5.2,1,0,2,0.02,0.04,0.4,22,0.78,32,21,286,33.5,17,0.4,0.21,0.65,0.03,0.09
红旦旦萝卜（樱桃萝卜、小水萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.4,19,0.8,0,4.3,0.8,0,0,0.01,0,0,4,1.11,9,43,63,20.1,11,2.9,0.32,1.45,0,0.05
甜菜根（甜菜头，甜萝卜）,蔬菜,1,,74.8,87,1,0.1,23.5,5.9,0,0,0.05,0.04,0.2,8,1.85,56,18,254,20.8,38,0.9,0.31,0.29,0.15,0.86
茴香菜（小茴香）,蔬菜,1,,91.2,27,2.5,0.4,4.2,1.6,0,201,0.06,0.09,0.8,26,0.94,154,23,149,186.3,46,1.2,0.73,0.77,0.04,0.31
扁豆（鲜，月亮菜）,蔬菜,1,扁豆（鲜，月亮菜）_豆角_豆角（白）,88.3,41,2.7,0.2,8.2,2.1,0,13,0.04,0.07,0.9,13,0.24,38,54,178,3.8,34,1.9,0.72,0.94,0.12,0.34
豆角,蔬菜,1,扁豆（鲜，月亮菜）_豆角_豆角（白）,90,34,2.5,0.2,6.7,2.1,0,17,0.05,0.07,0.9,18,2.24,29,55,207,3.4,35,1.5,0.54,2.16,0.15,0.41
豆角（白）,蔬菜,1,扁豆（鲜，月亮菜）_豆角_豆角（白）,89.7,35,2.2,0.2,7.4,2.6,0,48,0.06,0.04,0.9,39,2.38,26,40,192,9.5,28,0.8,0.6,1.6,0.1,0.78
油菜,蔬菜,1,油菜_油菜（黑）_油菜苔,95.6,14,1.3,0.5,2,1.1,0,90,0.02,0.05,0.55,36,0.88,148,23,175,73.7,25,0.9,0.31,0.73,0.03,0.23
油菜（黑）,蔬菜,1,油菜_油菜（黑）_油菜苔,94.1,19,1.8,0.2,2.9,0.9,0,122,0.01,0.1,0,24,0.94,191,34,143,98.8,34,5.9,1.27,0,0,1.09
油菜苔,蔬菜,1,油菜_油菜（黑）_油菜苔,92.4,24,3.2,0.4,3,2,0,45,0.08,0.07,0.8,65,0.89,156,51,192,83.2,27,2.8,9.72,0.82,0.18,0.45
芹菜（白茎，旱芹，药芹）,蔬菜,1,芹菜（白茎，旱芹，药芹）_芹菜（茎）_芹菜（叶）,95.4,13,0.4,0.2,3.1,1,0,2,0.01,0.02,0.22,2,0,15,13,128,166.4,16,0.2,0.14,0.07,0.03,0.04
芹菜（茎）,蔬菜,1,芹菜（白茎，旱芹，药芹）_芹菜（茎）_芹菜（叶）,93.1,22.4,1.2,0.2,4.5,1.2,0,28,0.02,0.06,0.4,8,1.32,80,38,206,159,18,1.2,0.24,9.57,0.09,0.16
芹菜（叶）,蔬菜,1,芹菜（白茎，旱芹，药芹）_芹菜（茎）_芹菜（叶）,89.4,35.4,2.6,0.6,5.9,2.2,0,244,0.08,0.15,0.9,22,2.5,40,64,137,83,58,0.6,1.14,2,0.99,0.54
生菜（叶用莴苣）,蔬菜,1,,96.7,12,1.6,0.4,1.1,0.7,0,2,0.02,0.01,0.4,13,1.02,14,12,91,16.1,7,0.2,0.12,0.04,0.01,0.06
韭菜,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,92,25,2.4,0.4,4.5,0,0,133,0.04,0.05,0.86,2,0.57,44,45,241,5.8,24,0.7,0.25,1.33,0.05,0.21
韭芽（韭黄）,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,93.2,24,2.3,0.2,3.9,1.2,0,22,0.03,0.05,0.7,15,0.34,25,48,192,6.9,12,1.7,0.33,0.76,0.1,0.17
青蒜,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,90.4,34,2.4,0.3,6.2,1.7,0,49,0.06,0.04,0.6,16,0.8,24,25,168,9.3,17,0.8,0.23,1.27,0.05,0.15
蒜黄,蔬菜,1,韭菜_韭芽（韭黄）_青蒜_蒜黄,93,23.8,2.5,0.2,3.8,1.4,0,23,0.05,0.07,0.6,18,0.53,24,58,168,7.8,16,1.3,0.33,0.79,0.09,0.25
香菜（芫荽，香荽）,蔬菜,1,,90.5,33.4,1.8,0.4,6.2,1.2,0,96.5,0.04,0.14,2.2,48,0.8,101,49,272,48.5,33,2.9,0.45,0.53,0.21,0.28
竹笋,蔬菜,1,竹笋_竹笋（春笋）_冬笋,92.8,22.6,2.6,0.2,3.6,1.8,0,0,0.08,0.08,0.6,5,0.05,9,64,389,0.4,1,0.5,0.33,0.04,0.09,1.14
竹笋（春笋）,蔬菜,1,竹笋_竹笋（春笋）_冬笋,91.4,25,2.4,0.1,5.1,2.8,0,2.5,0.05,0.04,0.4,5,0,8,36,300,6,8,2.4,0.43,0.66,0.15,0.78
冬笋,蔬菜,1,竹笋_竹笋（春笋）_冬笋,88.1,42,4.1,0.1,6.5,0.8,0,7,0.08,0.08,0.6,1,0,22,56,0,0,0,0.1,0,0,0,0
裙带菜（干）,菌菇藻,0.2,裙带菜（干）_海带（江白菜，昆布）,9.2,219,25,1.7,41.5,31.1,0,186,0.02,0.07,0,0,0,947,305,335,4411.6,1022,16.4,1.62,15.88,0.12,0.95
海带（江白菜，昆布）,菌菇藻,1,裙带菜（干）_海带（江白菜，昆布）,70.5,90,1.8,0.1,23.4,6.1,0,20,0.01,0.1,0.8,0,0.85,348,52,761,327.4,129,4.7,0.65,5.84,0.14,1.14
银耳（白木耳）,菌菇藻,0.2,银耳（白木耳）_木耳（干，黑木耳，云耳）_木耳（水发，黑木耳，云耳）,14.6,260.8,10,1.4,67.3,30.4,0,4,0.05,0.25,5.3,0,1.26,36,369,1588,82.1,54,4.1,3.03,2.95,0.08,0.17
木耳（干，黑木耳，云耳）,菌菇藻,0.2,银耳（白木耳）_木耳（干，黑木耳，云耳）_木耳（水发，黑木耳，云耳）,15.5,264.8,12.1,1.5,65.6,29.9,0,8,0.17,0.44,2.5,0,11.34,247,292,757,48.5,152,97.4,3.18,3.72,0.32,8.86
木耳（水发，黑木耳，云耳）,菌菇藻,1,银耳（白木耳）_木耳（干，黑木耳，云耳）_木耳（水发，黑木耳，云耳）,91.8,27,1.5,0.2,6,2.6,0,1.5,0.01,0.05,0.2,1,,34,34,12,8.5,57,5.5,0.53,0.46,0.04,0.97
香菇（干，香蕈，冬菇）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,12.3,274.2,20,1.2,61.7,31.6,0,1.5,0.19,1.26,20.5,5,0.66,83,258,464,11.2,147,10.5,8.57,6.42,1.03,5.47
香菇（鲜，香蕈，冬菇）,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,91.7,25.6,2.2,0.3,5.2,3.3,0,0,0,0.08,2,1,0,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25
口蘑（白蘑）,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,9.2,277,38.7,3.3,31.6,17.2,0,0,0.07,0.08,44.3,0,8.57,169,1655,3106,5.2,167,19.4,9.04,0,5.88,5.96
牛肝菌（白，干，美味牛肝菌）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,11.6,296,27.8,1.6,53.3,0,0,9,0.32,1.72,43.08,0,4.42,2,528,1571,9.1,47,9.2,5.8,758.8,1.19,3.88
火鸡肝,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,69.9,143,20,5.6,3.1,0,294,0,0.06,1.21,43,0,1.13,3,225,244,128.6,18,20.7,1.74,36,0.02,0.13
黄伞菇,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,10.8,294,22.8,3.2,57.5,0,0,0,0.17,1.93,41.38,0,0,4,566,3128,6.4,96,7.6,5.58,13.56,5.39,0.67
茶树菇,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,12.2,309,23.1,2.6,56.1,0,0,0,0.32,1.48,39.39,0,0,4,908,2165,6,124,9.3,8.38,7.24,2.76,0.73
蘑菇（干）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,13.7,294,21,4.6,52.7,21,0,136.5,0.1,1.1,30.7,5,6.18,127,357,1225,23.3,94,0,6.29,39.18,1.05,
榛蘑（干，小蜜环菌）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,8,329,17.7,10.8,54.6,0,0,40,0.14,0.71,26.91,0,3.35,9,893,4629,18.7,100,22.4,6,2.38,1.36,1.55
鸡腿菇（干）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,10.8,294,26.7,2,51.8,0,0,0,0.14,1.79,24.99,0,5.01,9,764,4053,68.2,119,6.5,3.95,15.39,1.4,0.72
冬菇（干，毛柄金线菌）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,13.4,276.6,17.8,1.3,64.6,32.3,0,2.5,0.17,1.4,24.4,5,3.47,55,469,1155,20.4,104,10.5,4.2,7.45,0.45,5.02
松蘑（干）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,10.6,273,12.5,3,66.5,0,0,8,0.08,1.48,23.42,0,5.48,7,390,2402,31.6,50,156.5,5.49,102.6,1.76,1.13
辣椒（红，尖，干）,调料,1,,14.6,295.4,15,12,52.7,41.7,0,0,0.53,0.16,1.2,0,8.76,12,298,1085,4,131,6,8.21,0,0.61,11.7
辣椒（红，小）,调料,1,,88.8,38.4,1.3,0.4,8.9,3.2,0,116,0.03,0.06,0.8,144,0.44,37,95,222,2.6,16,1.4,0.3,1.9,0.11,0.18
辣椒（尖，青）,调料,1,,93.4,22,0.8,0.3,5.2,2.1,0,98,0.02,0.02,0.62,59,0.38,11,20,154,7,15,0.3,0.21,0.02,0.05,0.05
姜,调料,1,,87,46.4,1.3,0.6,10.3,2.7,0,14,0.02,0.03,0.8,4,0,27,25,295,14.9,44,1.4,0.34,0.56,0.14,3.2
姜（干）,调料,1,,14.9,308.4,9.1,5.7,64,17.7,0,0,0,0.1,0,0,0,62,22,41,9.9,0,85,2.3,3.1,0.96,10.65
姜（子姜，嫩姜）,调料,1,,94.5,20.8,0.7,0.6,3.7,0.9,0,0,0,0.01,0.3,2,0,9,11,160,1.9,24,0.8,0.17,0.1,0.03,3.38
酱油,调料,1,,67.3,63.4,5.6,0.1,10.1,0.2,0,0,0.05,0.13,1.7,0,0,66,204,337,5757,156,8.6,1.17,1.39,0.06,1.11
混合油（菜+棕）,调料,1,,0,895,0,99.9,1,0,0,0,0,0.09,0.1,0,12.05,75,,,10.5,,4.1,,,,
菜籽油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,60.89,9,9,2,7,3,3.7,0.54,0,0.18,0.11
大麻油,调料,1,,0.3,897,0,99.9,0,0,0,0,0,0,0,0,8.55,15,6,3,1.5,4,3.1,0.43,0,0.1,0.02
豆油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,93.08,13,7,3,4.9,3,2,1.09,0,0.16,0.43
胡麻油,调料,1,,0,900,0,100,0,0,0,0,0,0,0,0,389.9,3,5,0,0.6,1,0.2,0.3,0,0.02,0.03
花生油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,42.06,12,15,1,3.5,2,2.9,0.48,0,0.15,0.33
葵花籽油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,54.6,2,4,1,2.8,4,1,0.11,0,0,0.02
盐,调料,1,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,22,,,25127.2,,1,,,,
味精,调料,1,,0.2,268,40.1,0.2,26.5,0,0,0,0.08,0,0.3,0,0,100,4,4,8160,7,1.2,0.31,0.98,0.12,0.67
胡椒粉,调料,1,,10.5,357,9.6,2.2,74.6,2.3,0,10,0,0,1.8,0,0,2,172,154,4.9,128,91,1.23,7.64,0.32,0.79
芝麻油（香油）,调料,1,,0.1,898,0,99.7,0.2,0,0,0,0,0,0,0,68.53,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76
大葱,调料,1,,91.8,28,1.6,0.3,5.8,1.3,0,5,0.06,0.03,0.5,3,0,63,25,110,8.9,16,0.6,0.29,0.21,0.03,0.34
小葱,调料,1,,92.7,26.8,1.6,0.4,4.9,1.4,0,70,0.05,0.06,0.4,21,0.49,72,26,143,10.4,18,1.3,0.35,1.06,0.06,0.16
葱头（洋葱）,调料,1,,89.2,40,1.1,0.2,9,0.9,0,2,0.03,0.03,0.3,8,0.14,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14
大蒜、生的,调料,1,,58.58,149,6.36,0.5,33.06,2.1,,,0.2,0.11,0.7,31.2,,181,153,401,17,25,1.7,1.16,14.2,0.3,1.67
大蒜（白皮，鲜）,调料,1,,66.6,128,4.5,0.2,27.6,1.1,0,3,0.04,0.06,0.6,7,1.07,39,117,302,19.6,21,1.2,0.88,3.09,0.22,0.29
白糖（绵白糖）,调料,1,,0.9,396,0.1,0,98.9,0,0,0,0,0,0.2,0,0,6,3,2,2,2,0.2,0.07,0.38,0.02,0.08
白砂糖,调料,1,,0,400,0,0,99.9,0,0,0,0,0,0,0,0,20,8,5,0.4,3,0.6,0.06,0,0.04,0.09
