名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
荞麦面,面粉,1,,14.2,340,11.3,2.8,70.2,0,0,2,0.26,0.1,3.47,0,5.31,71,243,304,0.9,151,7,1.94,2.16,0.39,0.59
玉米面（强化豆粉）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.60000038,352,11.80000019,4.900000095,68.3,6.400000095,0,0,0.209999993,0.039999999,3.099999905,0,7.130000114,18,234,370,1.600000024,106,3.400000095,1.28,9.15,0.38,0.74
玉米面（白）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.39999962,352,8,4.5,73.1,6.199999809,0,0,0.340000004,0.059999999,3,0,6.889999866,12,187,276,0.5,111,1.299999952,1.22,1.58,0.23,0.4
玉米面（黄）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,11.2,350,8.5,1.5,78.4,0,0,3,0.07,0.04,0.8,0,0.98,22,196,249,2.299999952,84,0.4,0.08,2.68,0.01,0.02
小米面,面粉,1,,11.8,357,7.2,2.1,77.7,0.7,0,0,0.13,0.08,2.5,0,0,40,159,129,6.2,57,6.1,1.18,2.82,0.32,0.55
绿豆面,面粉,1,,9.600000381,341,20.79999924,0.699999988,65.8,5.800000191,0,8,0.449999988,0.119999997,0.699999988,0,0,134,304,1055,3.299999952,0,8.100000381,2.68,10.58,1.55,0
莜麦面,面粉,0.2,,8,391,13.7,8.6,67.7,0,0,0,0.2,0.09,0.29,0,0.39,40,259,255,1.8,62,3.8,2.18,2.9,0.41,1.71
草菇（大黑头细花草）,菌菇藻,1,,92.3,27,2.7,0.2,4.3,1.6,0,0,0.08,0.34,8,0,0.4,17,33,179,73,21,1.3,0.6,0.02,0.4,0.09
大红菇（草质红菇）,菌菇藻,1,,15.5,263.2,24.4,2.8,50.9,31.6,0,6.5,0.26,6.9,19.5,2,0,1,523,228,1.7,30,7.5,3.5,10.64,2.3,0.91
粉丝,菌菇藻,1,,15,368,0.8,0.2,83.7,1.1,0,0,0.03,0.02,0.4,0,0,31,16,18,9.3,11,6.4,0.27,3.39,0.05,0.15
腐竹,菌菇藻,1,,7.9,461,44.6,21.7,22.3,1,0,0,0.13,0.07,0.8,0,27.84,77,284,553,26.5,71,16.5,3.69,6.65,1.31,2.55
海带（鲜，江白菜）,菌菇藻,1,,94.4,13,1.2,0.1,2.1,0.5,0,0,0.02,0.15,1.3,0,1.85,46,22,246,8.6,25,0.9,0.16,9.54,0,0.07
海带菜（鲜）,菌菇藻,1,,68.3,112,1.4,7.5,15.3,0,0,34,0.04,0.03,0,0,2.37,201,27,44,2511.7,46,2.3,4.93,0.5,0.07,0.33
黄蘑（干）,菌菇藻,1,,39.3,202.6,16.4,1.5,40.1,18.3,0,6,0.15,1,5.8,0,1.26,11,194,1953,6.1,91,22.5,5.26,1.09,0.46,3.09
螺旋藻（干）,菌菇藻,1,,6.5,358,64.7,3.1,18.2,1,0,3234,0.28,1.41,10,0,27.11,137,1317,1506,1624,402,88,2.62,5.24,0.54,1.34
落葵（木耳菜，软浆菜）,菌菇藻,1,,92.8,23,1.6,0.3,4.3,1.5,0,168,0.06,0.06,0.6,34,1.66,166,42,140,47.2,62,3.2,0.32,2.6,0.07,0.43
蘑菇（鲜，鲜蘑）,菌菇藻,1,,92.4,24.2,2.7,0.1,4.1,2.1,0,1,0.08,0.35,4,2,0.56,6,94,312,8.3,11,1.2,0.92,0.55,0.49,0.11
蘑菇、白蘑菇、生的,菌菇藻,1,,92.45,22,3.09,0.34,3.26,1,,,0.08,0.4,3.61,2.1,,3,86,318,5,9,0.5,0.52,9.3,0.32,0.05
苜蓿（草头，金花菜）,菌菇藻,1,,90.2,148,5,0.7,2.9,1.4,0,915,0.02,0.17,1,102,2.82,112,22,32,26.2,11,2.8,0.25,0.11,0.04,0.13
牛肝菌（白，美味牛肝菌）,菌菇藻,1,,90.2,35,4,0.4,4.5,1.5,0,0,0.14,1.11,2.1,0,8.93,5,68,391,2.1,10,2.1,0.98,0.25,0.32,0.19
平菇（鲜，糙皮）,菌菇藻,1,,92.5,24,1.9,0.3,4.6,2.3,0,1,0.06,0.16,3.1,4,0.79,5,86,258,3.8,14,1,0.61,1.07,0.08,0.07
双孢蘑菇（洋蘑菇）,菌菇藻,1,,92.4,26,4.2,0.1,2.7,1.5,0,0,0,0.27,3.2,0,0,2,43,307,2,9,0.9,6.6,6.99,0.45,0.1
松蘑（松口蘑，松茸）,菌菇藻,1,,16.1,207,20.3,3.2,48.2,47.8,0,0,0.01,1.48,0,0,3.09,14,50,93,4.3,0,86,6.22,98.44,10.3,1.63
香杏丁蘑（干，大）,菌菇藻,1,,14.1,256.8,22.4,0.2,53.9,24.9,0,0,0,3.11,0,0,0,17,73,238,43.4,0,113.2,7.78,15.3,5.11,2.84
"羊肚菌（干,狼肚）",菌菇藻,1,,14.3,320.8,26.9,7.1,43.7,12.9,0,89,0.1,2.25,8.8,3,3.58,87,1193,1726,33.6,117,30.7,12.11,4.82,2.34,2.49
鱼腥草（根）,菌菇藻,1,,77.4,261,2.1,0.1,19.5,0,0,7,0.09,0.06,0.78,3,0.26,74,55,469,42.4,27,2.3,0.69,0.43,0.11,1.28
珍珠白蘑,菌菇藻,1,,12.1,258,18.3,0.7,56.3,23.3,0,0,0,0.02,0,0,0,24,28,284,4.4,0,189.8,3.55,78.52,1.03,4.79
榛蘑（半干，假蜜环菌）,菌菇藻,1,,51.1,177.8,9.5,3.7,31.9,10.4,0,3,0.01,0.69,7.5,0,3.34,11,286,2493,51.3,109,25.1,6.79,2.65,1.45,4.13
裙带菜（干）,菌菇藻,0.2,裙带菜（干）_海带（江白菜，昆布）,9.2,219,25,1.7,41.5,31.1,0,186,0.02,0.07,0,0,0,947,305,335,4411.6,1022,16.4,1.62,15.88,0.12,0.95
海带（江白菜，昆布）,菌菇藻,1,裙带菜（干）_海带（江白菜，昆布）,70.5,90,1.8,0.1,23.4,6.1,0,20,0.01,0.1,0.8,0,0.85,348,52,761,327.4,129,4.7,0.65,5.84,0.14,1.14
银耳（白木耳）,菌菇藻,0.2,银耳（白木耳）_木耳（干，黑木耳，云耳）_木耳（水发，黑木耳，云耳）,14.6,260.8,10,1.4,67.3,30.4,0,4,0.05,0.25,5.3,0,1.26,36,369,1588,82.1,54,4.1,3.03,2.95,0.08,0.17
木耳（干，黑木耳，云耳）,菌菇藻,0.2,银耳（白木耳）_木耳（干，黑木耳，云耳）_木耳（水发，黑木耳，云耳）,15.5,264.8,12.1,1.5,65.6,29.9,0,8,0.17,0.44,2.5,0,11.34,247,292,757,48.5,152,97.4,3.18,3.72,0.32,8.86
木耳（水发，黑木耳，云耳）,菌菇藻,1,银耳（白木耳）_木耳（干，黑木耳，云耳）_木耳（水发，黑木耳，云耳）,91.8,27,1.5,0.2,6,2.6,0,1.5,0.01,0.05,0.2,1,,34,34,12,8.5,57,5.5,0.53,0.46,0.04,0.97
香菇（干，香蕈，冬菇）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,12.3,274.2,20,1.2,61.7,31.6,0,1.5,0.19,1.26,20.5,5,0.66,83,258,464,11.2,147,10.5,8.57,6.42,1.03,5.47
香菇（鲜，香蕈，冬菇）,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,91.7,25.6,2.2,0.3,5.2,3.3,0,0,0,0.08,2,1,0,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25
口蘑（白蘑）,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,9.2,277,38.7,3.3,31.6,17.2,0,0,0.07,0.08,44.3,0,8.57,169,1655,3106,5.2,167,19.4,9.04,0,5.88,5.96
牛肝菌（白，干，美味牛肝菌）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,11.6,296,27.8,1.6,53.3,0,0,9,0.32,1.72,43.08,0,4.42,2,528,1571,9.1,47,9.2,5.8,758.8,1.19,3.88
火鸡肝,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,69.9,143,20,5.6,3.1,0,294,0,0.06,1.21,43,0,1.13,3,225,244,128.6,18,20.7,1.74,36,0.02,0.13
黄伞菇,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,10.8,294,22.8,3.2,57.5,0,0,0,0.17,1.93,41.38,0,0,4,566,3128,6.4,96,7.6,5.58,13.56,5.39,0.67
茶树菇,菌菇藻,1,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,12.2,309,23.1,2.6,56.1,0,0,0,0.32,1.48,39.39,0,0,4,908,2165,6,124,9.3,8.38,7.24,2.76,0.73
蘑菇（干）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,13.7,294,21,4.6,52.7,21,0,136.5,0.1,1.1,30.7,5,6.18,127,357,1225,23.3,94,0,6.29,39.18,1.05,
榛蘑（干，小蜜环菌）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,8,329,17.7,10.8,54.6,0,0,40,0.14,0.71,26.91,0,3.35,9,893,4629,18.7,100,22.4,6,2.38,1.36,1.55
鸡腿菇（干）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,10.8,294,26.7,2,51.8,0,0,0,0.14,1.79,24.99,0,5.01,9,764,4053,68.2,119,6.5,3.95,15.39,1.4,0.72
冬菇（干，毛柄金线菌）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,13.4,276.6,17.8,1.3,64.6,32.3,0,2.5,0.17,1.4,24.4,5,3.47,55,469,1155,20.4,104,10.5,4.2,7.45,0.45,5.02
松蘑（干）,菌菇藻,0.2,香菇（干，香蕈，冬菇）_香菇（鲜，香蕈，冬菇）_口蘑（白蘑）_牛肝菌（白，干，美味牛肝菌）_火鸡肝_黄伞菇_茶树菇_蘑菇（干）_榛蘑（干，小蜜环菌）_鸡腿菇（干）_冬菇（干，毛柄金线菌）_松蘑（干）,10.6,273,12.5,3,66.5,0,0,8,0.08,1.48,23.42,0,5.48,7,390,2402,31.6,50,156.5,5.49,102.6,1.76,1.13
鸡,鸡肉,1,,69,167,19.3,9.4,1.3,0,106,24,0.05,0.09,5.6,0,0.67,9,156,251,63.3,19,1.4,1.09,11.75,0.07,0.03
鸡肉、肝、所有类,鸡肉,1,,66.81,167,24.46,6.51,0.87,0,,,0.29,1.99,11.05,27.9,,11,405,263,76,25,11.63,3.98,82.4,0.5,0.36
鸡肉、鸡肉、杂碎、生的,鸡肉,1,,74.12,130,18.28,5.18,1.42,0,,,0.1,1.12,6.98,18.4,,10,207,226,77,18,6.25,3.38,55.3,0.27,0.16
鸡肉、肉仔鸡或雏鸡、背部、仅肉、生的,鸡肉,1,,75.31,137,19.56,5.92,0,0,,,0.07,0.16,6.67,0,,17,151,204,82,22,1.04,1.85,13.5,0.06,0.02
鸡肉、肉仔鸡或雏鸡、腿、仅肉、生的,鸡肉,1,,76.41,120,19.16,4.22,0,0,,,0.09,0.18,5.58,0,,10,180,238,96,23,0.78,1.76,21,0.06,0.02
鸡腿,鸡肉,1,,70.2,181,16.4,13,0,0,162,22,0.02,0.14,6,0,0.03,6,172,242,64.4,34,1.5,1.12,12.4,0.09,0.03
鸡蛋（白皮）,鸡蛋,0.2,鸡蛋（白皮）_鸡蛋（红皮）_鸡蛋白_鸡蛋黄,75.8,138,12.7,9,1.5,0,585,155,0.09,0.31,0.2,0,1.23,48,176,98,94.7,14,2,1,16.55,0.06,0.03
鸡蛋（红皮）,鸡蛋,0.2,鸡蛋（白皮）_鸡蛋（红皮）_鸡蛋白_鸡蛋黄,73.8,156,12.8,11.1,1.3,0,585,97,0.13,0.32,0.2,0,2.29,44,182,121,125.7,11,2.3,1.01,14.98,0.07,0.04
鸡蛋白,鸡蛋,0.2,鸡蛋（白皮）_鸡蛋（红皮）_鸡蛋白_鸡蛋黄,84.4,60,11.6,0.1,3.1,0,0,0,0.04,0.31,0.2,0,0.01,9,18,132,79.4,15,1.6,0.02,6.97,0.05,0.02
鸡蛋黄,鸡蛋,0.2,鸡蛋（白皮）_鸡蛋（红皮）_鸡蛋白_鸡蛋黄,51.5,328,15.2,28.2,3.4,0,1510,219,0.33,0.29,0.1,0,5.06,112,240,95,54.9,41,6.5,3.79,27.01,0.28,0.06
蚌肉,海鲜,1,,80.8,71,15,0.9,0.8,0,148,141.5,0.01,0.22,0.4,0,0,190,,,6.1,,50,,,,
鲍鱼（杂色鲍）,海鲜,1,,77.5,84,12.6,0.8,6.6,0,242,12,0.01,0.16,0.2,0,2.2,266,77,136,2011.7,59,22.6,1.75,21.38,0.72,0.4
鳊鱼（鲂鱼，武昌鱼）,海鲜,1,,73.1,135,18.3,6.3,1.2,0,94,14,0.02,0.07,1.7,0,0.52,89,188,215,41.1,17,0.7,0.89,11.59,0.07,0.05
蚕蛹,海鲜,1,,57.5,230,21.5,13,6.7,0,155,0,0.07,2.23,2.2,0,9.89,81,207,272,140.2,103,2.6,6.17,11.1,0.53,0.64
草鱼（白鲩，草包鱼）,海鲜,1,,77.3,112,16.6,5.2,0,0,86,5.5,0.04,0.11,2.8,0,2.03,38,203,312,46,31,0.8,0.87,6.66,0.05,0.05
蛏干（蛏子缢，蛏青子）,海鲜,1,,12.2,340,46.5,4.9,27.4,0,469,10,0.07,0.31,5.1,0,0.41,107,791,586,1175,303,88.8,13.63,121.2,2.05,7.8
蛏子,海鲜,1,,88.4,40,7.3,0.3,2.1,0,131,29.5,0.02,0.12,1.2,0,0.59,134,114,140,175.9,35,33.6,2.01,55.14,0.38,1.93
大黄鱼（大黄花鱼）,海鲜,1,,77.7,96,17.7,2.5,0.8,0,86,5,0.03,0.1,1.9,0,1.13,53,174,260,120.3,39,0.7,0.58,42.57,0.04,0.02
大麻哈鱼（大马哈鱼）,海鲜,1,,74.1,143,17.2,8.6,0,0,101,22.5,0.07,0.18,4.4,0,0.78,13,154,361,0,36,0.3,1.11,29.47,0.03,0.02
带鱼（白带鱼，刀鱼）,海鲜,1,,73.3,127,17.7,4.9,3.1,0,76,14.5,0.02,0.06,2.8,0,0.82,28,191,280,150.1,43,1.2,0.7,36.57,0.08,0.17
鲷鱼（黑鲷，铜盆鱼，大目鱼）,海鲜,1,,75.2,106,17.9,2.6,2.7,0,65,6,0.02,0.1,3.5,0,1.08,186,304,261,103.9,36,2.3,1.2,31.53,0.08,0.26
鲽（比目鱼，凸眼鱼）,海鲜,1,,74.6,107,21.1,2.3,0.5,0,73,58.5,0.03,0.04,1.5,0,2.35,107,135,264,150.4,32,0.4,0.92,29.45,0.06,0.11
丁香鱼（干）,海鲜,1,,36.3,196,37.5,3.1,4.6,0,379,59.5,0.01,0.17,2,0,0.3,590,914,664,4375,319,4.3,3.4,41.24,0.35,0.84
鳜鱼（桂鱼）,海鲜,1,,74.5,117,19.9,4.2,0,0,124,6,0.02,0.07,5.9,0,0.87,63,217,295,68.6,32,1,1.07,26.5,0.1,0.03
蛤蜊,海鲜,1,,91,31,5.8,0.4,1.1,0,156,9.5,0.01,0.1,0.5,0,0.86,138,128,140,425.7,78,10.9,2.38,54.31,0.11,0.44
蛤蜊（花蛤）,海鲜,1,,87.2,45,7.7,0.6,2.2,0,63,11.5,0,0.13,1.9,0,0.51,59,126,235,309,82,6.1,1.19,77.1,0.2,0.39
海参（鲜）,海鲜,1,,77.1,71,16.5,0.2,0.9,0,51,0,0.03,0.04,0.1,0,3.14,285,28,43,502.9,149,13.2,0.63,63.93,0.05,0.76
海蛎肉,海鲜,1,,85.6,66,8.4,2.3,2.9,0,0,0,0.03,0.07,1.7,0,7.66,167,,,194,,5.4,,,,
海蜇皮,海鲜,1,,76.5,33,3.7,0.3,3.8,0,8,0,0.03,0.05,0.2,0,2.13,150,30,160,325,124,4.8,0.55,15.54,0.12,0.44
河蚌,海鲜,1,,89.8,36,6.8,0.6,0.8,0,57,101,0.01,0.13,1,0,1.36,306,308,17,28.7,16,3.1,6.23,20.24,0.11,59.61
河蚬（蚬子）,海鲜,1,,88.5,47,7,1.4,1.7,0,257,18.5,0.08,0.13,1.4,0,0.38,39,127,25,18.4,10,11.4,1.82,29.79,0.47,0.18
黄鳝（鳝丝）,海鲜,1,,85.2,61,15.4,0.8,0,0,0,0,0.04,2.08,1.8,0,1.1,57,81,278,131,0,2.8,1.82,36.38,0.02,8.25
黄鳝（鳝鱼）,海鲜,1,,78,89,18,1.4,1.2,0,126,25,0.06,0.98,3.7,0,1.34,42,206,263,70.2,18,2.5,1.97,34.56,0.05,2.22
鲚鱼（大凤尾鱼）,海鲜,1,,77.5,106,13.2,5.5,0.8,0,93,7.5,0,0.08,1,0,0.84,114,498,161,53.1,28,1.7,1.51,37.8,0.11,0.29
鲚鱼（小凤尾鱼）,海鲜,1,,72.7,124,15.5,5.1,4,0,0,7,0.06,0.06,0.9,0,0.74,78,460,225,38.5,23,1.6,1.3,33.3,0.1,0.17
鲫鱼（喜头鱼，海鲋鱼）,海鲜,1,,75.4,108,17.1,2.7,3.8,0,130,8.5,0.04,0.09,2.5,0,0.68,79,193,290,41.2,41,1.3,1.94,14.31,0.08,0.06
鲤鱼（鲤拐子）,海鲜,1,,76.7,109,17.6,4.1,0.5,0,84,12.5,0.03,0.09,2.7,0,1.27,50,204,334,53.7,33,1,2.08,15.38,0.06,0.05
鲢鱼（白鲢，胖子，连子鱼）,海鲜,1,,77.8,102,17.8,3.6,0,0,99,10,0.03,0.07,2.5,0,1.23,53,190,277,57.5,23,1.4,1.17,15.68,0.06,0.09
鲈鱼（鲈花）,海鲜,1,,77.7,100,18.6,3.4,0,0,86,9.5,0.03,0.17,3.1,0,0.75,138,242,205,144.1,37,2,2.83,33.06,0.05,0.04
罗非鱼,海鲜,1,,76,98,18.4,1.5,2.8,0,78,0,0.11,0.17,3.3,0,1.91,12,161,289,19.8,36,0.9,0.87,22.6,0.05,0.09
螺（东风螺，黄螺）,海鲜,1,,70.7,106,19.8,1,4.5,0,0,1,0.06,1.02,2.1,0,0.33,55,140,297,129.4,32,3.3,2.21,27.52,1.05,0.42
螺（田螺）,海鲜,1,,82,60,11,0.2,3.6,0,154,0,0.02,0.19,2.2,0,0.75,0,93,98,26,77,19.7,2.71,16.73,0.8,1.26
螺蛳,海鲜,1,,83.3,59,7.5,0.6,6,0,86,0,0,0.28,2,0,0.43,156,98,75,252.6,178,1.4,10.27,16.95,1.52,1.05
鳗鱼、混合种、生的,海鲜,1,,68.26,184,18.44,11.66,0,0,,,0.15,0.04,3.5,1.8,,20,216,272,51,20,0.5,1.62,6.5,0.02,0.04
